No,product_id,name,original_price,discount,sale_price,product_url,image_url
67,post-100106,"Manual Fruit Juicer Hand Squeezer","₨ 2,500",-40%,"₨ 1,500",https://ebuy.pk/product/manual-fruit-juicer/,https://ebuy.pk/wp-content/uploads/Steel-Manual-Fruit-Juicer-Hand-Squeezer-at-Best-Price-In-Pakistan-247x307.jpg
141,post-102583,"Scalp Massager Shampoo Hair Brush for Dandruff Removal",₨ 400,-30%,₨ 280,https://ebuy.pk/product/scalp-massager-shampoo-hair-brush/,https://ebuy.pk/wp-content/uploads/Scalp-Massager-Shampoo-Hair-Brush-at-best-price-in-Pakistan-247x307.jpg
66,post-102596,"Teddy Bear Tooth Brush Holder Multipurpose",₨ 300,-40%,₨ 180,https://ebuy.pk/product/teddy-bear-tooth-brush-holder/,https://ebuy.pk/wp-content/uploads/Teddy-Bear-Tooth-Brush-Holder-at-best-price-in-Pakistan-247x307.jpg
65,post-102966,"Wall Mounted Pot Lid Holder Rotatable",₨ 600,-42%,₨ 350,https://ebuy.pk/product/wall-mounted-pot-lid-holder/,https://ebuy.pk/wp-content/uploads/Wall-Mounted-Pot-Lid-Holder-Rotatable-at-best-price-in-Pakistan-247x307.jpg
64,post-104426,"Leaf Shape Soap Drain Stand",₨ 400,-40%,₨ 240,https://ebuy.pk/product/leaf-shape-soap-drain-stand/,https://ebuy.pk/wp-content/uploads/Leaf-Shape-Soap-Drain-Stand-online-in-Pakistan-247x307.jpg
15,post-104446,"Rubber Stretchable Muscle Expander Body Exerciser","₨ 1,500",-33%,"₨ 1,000",https://ebuy.pk/product/rubber-stretchable-muscle-expander/,https://ebuy.pk/wp-content/uploads/Rubber-Stretchable-Muscle-Expander-online-at-best-price-in-Pakistan-247x307.jpg
47,post-106273,"Sakura Flower Shaped Soap Dish Holder",₨ 180,-33%,₨ 120,https://ebuy.pk/product/sakura-flower-shaped-soap-dish/,https://ebuy.pk/wp-content/uploads/Sakura-Flower-Shaped-Soap-Dish-Holder-online-in-Pakistan-247x307.jpg
127,post-110463,"P1 Foldable Laptop Stand- Portable & Adjustable","₨ 1,500",-33%,"₨ 1,000",https://ebuy.pk/product/p1-foldable-laptop-stand/,https://ebuy.pk/wp-content/uploads/P1-Portable-Foldable-laptop-Stand-Online-at-best-price-in-Pakistan-247x307.jpg
110,post-110767,"Professional Hair Straightener Brush Curler Dual Use Hair Styling Comb","₨ 3,500",-46%,"₨ 1,900",https://ebuy.pk/product/professional-hair-straightener-brush-curler/,https://ebuy.pk/wp-content/uploads/2-in-1-Hair-stylish-straightener-brush-curler-online-in-Pakistan-1-247x307.jpg
63,post-110993,"Magic Sticky Gel Cleaner",₨ 280,-21%,₨ 220,https://ebuy.pk/product/magic-sticky-gel-cleaner/,https://ebuy.pk/wp-content/uploads/Magic-Sticky-Glue-Cleaner-Best-Price-In-Pakistan-247x307.jpg
122,post-110999,"Luminous Glowing Star Stickers",₨ 250,-32%,₨ 170,https://ebuy.pk/product/luminous-glowing-star-stickers/,https://ebuy.pk/wp-content/uploads/Glow-In-The-Dark-Self-Adhesive-Stars-Online-At-Best-Price-In-Pakistan-247x307.jpg
